"Year","GamesPlayed","Team","Wins"
2020,60,"Arizona Diamondbacks",25
2020,60,"Atlanta Braves",35
2020,60,"Baltimore Orioles",25
2020,60,"Boston Red Sox",24
2020,60,"Chicago Cubs",34
2020,60,"Chicago White Sox",35
2020,60,"Cincinnati Reds",31
2020,60,"Cleveland Indians",35
2020,60,"Colorado Rockies",26
2020,60,"Detroit Tigers",23
2020,60,"Houston Astros",29
2020,60,"Kansas City Royals",26
2020,60,"Los Angeles Angels",26
2020,60,"Los Angeles Dodgers",43
2020,60,"Miami Marlins",31
2020,60,"Milwaukee Brewers",29
2020,60,"Minnesota Twins",36
2020,60,"New York Mets",26
2020,60,"New York Yankees",33
2020,60,"Oakland Athletics",36
2020,60,"Philadelphia Phillies",28
2020,60,"Pittsburgh Pirates",19
2020,60,"San Diego Padres",37
2020,60,"San Francisco Giants",29
2020,60,"Seattle Mariners",27
2020,60,"St. Louis Cardinals",30
2020,60,"Tampa Bay Rays",40
2020,60,"Texas Rangers",22
2020,60,"Toronto Blue Jays",32
2020,60,"Washington Nationals",26
2019,162,"Arizona Diamondbacks",85
2019,162,"Atlanta Braves",97
2019,162,"Baltimore Orioles",54
2019,162,"Boston Red Sox",84
2019,162,"Chicago Cubs",84
2019,162,"Chicago White Sox",72
2019,162,"Cincinnati Reds",75
2019,162,"Cleveland Indians",93
2019,162,"Colorado Rockies",71
2019,162,"Detroit Tigers",47
2019,162,"Houston Astros",107
2019,162,"Kansas City Royals",59
2019,162,"Los Angeles Angels",72
2019,162,"Los Angeles Dodgers",106
2019,162,"Miami Marlins",57
2019,162,"Milwaukee Brewers",89
2019,162,"Minnesota Twins",101
2019,162,"New York Mets",86
2019,162,"New York Yankees",103
2019,162,"Oakland Athletics",97
2019,162,"Philadelphia Phillies",81
2019,162,"Pittsburgh Pirates",69
2019,162,"San Diego Padres",70
2019,162,"San Francisco Giants",77
2019,162,"Seattle Mariners",68
2019,162,"St. Louis Cardinals",91
2019,162,"Tampa Bay Rays",96
2019,162,"Texas Rangers",78
2019,162,"Toronto Blue Jays",67
2019,162,"Washington Nationals",93
2018,163,"Arizona Diamondbacks",82
2018,163,"Atlanta Braves",90
2018,163,"Baltimore Orioles",47
2018,163,"Boston Red Sox",108
2018,163,"Chicago Cubs",95
2018,163,"Chicago White Sox",62
2018,163,"Cincinnati Reds",67
2018,163,"Cleveland Indians",91
2018,163,"Colorado Rockies",91
2018,163,"Detroit Tigers",64
2018,163,"Houston Astros",103
2018,163,"Kansas City Royals",58
2018,163,"Los Angeles Angels",80
2018,163,"Los Angeles Dodgers",92
2018,163,"Miami Marlins",63
2018,163,"Milwaukee Brewers",96
2018,163,"Minnesota Twins",78
2018,163,"New York Mets",77
2018,163,"New York Yankees",100
2018,163,"Oakland Athletics",97
2018,163,"Philadelphia Phillies",80
2018,163,"Pittsburgh Pirates",82
2018,163,"San Diego Padres",66
2018,163,"San Francisco Giants",73
2018,163,"Seattle Mariners",89
2018,163,"St. Louis Cardinals",88
2018,163,"Tampa Bay Rays",90
2018,163,"Texas Rangers",67
2018,163,"Toronto Blue Jays",73
2018,163,"Washington Nationals",82
2017,162,"Arizona Diamondbacks",93
2017,162,"Atlanta Braves",72
